Citation,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
,11,O me beatum ! ore tuo me dis commendatum ! Putasne ullus dolor penetrare sciat corpus aut animum meum prae tanto gaudio ?,Positive,"O, happy that I am! commended by your lips to the gods! Can any pain, think you, find its way into body or mind of mine to count against delight so great?",,
,12,"Proced . . . babae ! Neque doleo iam quicquam nec aegre fero : vigeo , valeo , exulto :",Positive,"... hurrah! No longer do I feel any pain, nor any distress: I am whole, I am well, I leap for joy;",,
,13,"quo vis , veniam ; quo vis , curram . Crede istud mihi , tanta me laetitia perfusum , ut rescribere tibi ilico non potuerim ;",Positive,"whither you wish, I will come; whither you wish, I will run. Believe me when I say that I was so steeped in delight as not to be able to answer your letter at once;",,
,14,"sed eas quidem litteras , quas ad priorem epistulam tuam iam rescripseram , dimisi ad te :",Neutral,"but the letter, indeed, which I had already written in answer to your previous one, I have sent off to you.",,
,15,"sequentem autem tabellarium retinui , quo ex gaudio resipiscerem . Ecce nox praeteriit , dies hic est alter , qui iam prope exactus est , necdum quid aut quemadmodum tibi rescribam reperio .",Neutral,"However, I have kept back the second messenger that I might recover from my joy. And lo, the night has passed, a second day is already here which is already almost spent, and still what and how to write back to you I find not.",,he conveys his anxiety at not knowing what to write = neg
,16,"Quid enim ego possim iucundius , quid blandius , quid amantius , quam tu scripsisti mihi proponere ?",Positive,"For what professions of mine could be more sweetly, what more winningly, what more lovingly expressed than yours for me? ",,"he confesses he feels inadequate in loving compared to Aurelius. if you take it with the sentence before it feels anxious, but alone it feels positive as he's praising Aurelius' love"
,17,"Unde gaudeo quod ingratum me et referundae gratiae imparem facias , quoniam , ut res est , ita me diligis ut ego te magis amare vix possim .",Positive,"And so I rejoice that you make me ungrateful and put a due requital beyond my powers, since, as the matter stands, your affection for me is so great that I can scarcely exceed your love.",gaudeo,
Ad M. Caes i.3.4,18,At ego nihil quidem malo quam amoris erga me tui nullam extare rationem . Nec omnino mihi amor videtur qui ratione oritur et iustis certisque de causis copulatur :,Positive,And yet there is nothing I like better than that there should be no reason for your love of me. For that seems to me no love at all which springs from reason and depends on actual and definite causes:,,
,19,"amorem ego illum intellego fortuitum et liberum et nullis causis servientem , impetu potius quam ratione conceptum , qui non officiis , uti lignis , sed sponte ortis vaporibus caleat .",Positive,"by love I understand such as is fortuitous and free and subject to no cause, conceived by impulse rather than by reason, that needs no services, as a fire logs, for its kindling, but glows with self-engendered heat.",fortuitum et liberum,
,20,"Baiarum ego calidos specus malo quam istas fornaculas balnearum , in quibus ignis cum sumptu atque fumo accenditur brevique extinguitur .",Negative,"To me the steaming grottoes of Baiae are better than your bath-furnaces, in which the fire is kindled with cost and smoke, and anon goes out.",,showing the negative qualities of the bathhouses in comparison
,21,"At illi ingenui vapores puri perpetuique sunt , grati pariter et gratuiti . Ad eundem prorsus modum amicitiae istae officiis calentes fumum interdum et lacrimas habent :",Mixed,"But the natural heat of the former is at once pure and perpetual, as grateful as it is gratuitous. Just in the same way your rational friendship, kept alight with services, not unfrequently means smoke and watery eyes:","puri, perpetuique","first part = description of positive aspects of hot springs, last is negative description of artificially maintained friendships"
,22,ubi primum cessaveris extinguuntur : amor autem fortuitus et iugis est et iucundus . ,Mixed,relax your efforts for an instant and out they go: but love fortuitous is eternal and enchanting.,,"negative on the efforts for artificial friendship, positive for love fortuitous"
Ad M. Caes i.3.5,23,"Quid , quod neque adolescit proinde nec corroboratur amicitia meritis parta ut ille amor subitus et repentinus ?",Mixed,"Again, friendship that is won by desert has no such growth or firm texture as the love that is sudden and at first sight.",,"same as previous sentence, first part negative next positive"
,24,"Ut non aeque adolescunt in pomariis hortulisque arbusculae manu cultae rigataeque ut ille in montibus aesculus et abies et alnus et cedrus et piceae , quae sponte natae , sine ratione ac sine ordine sitae , nullis cultorum laboribus neque officiis sed ventis atque imbribus educantur .",Neutral,"So in orchards and gardens the growth of shrubs, reared and watered by hand, is not like that of the oak and the fir and the alder and the cedar and the pine on their native hills which, springing up self-sown and set without plan and without order, owe nothing to the toil or services of a planter, but are fostered by the wind and the rain.",,
Ad M. Caes i.3.6,25,"Tuus igitur iste amor incultus et sine ratione exortus , spero , cum cedris porro adolescet et aesculis :",Positive,"That love of yours, therefore, unplanted and sprung up without reason, will, I trust, grow steadily on with the cedars and the oaks;",,
,26,"qui si officiorum ratione coleretur , non ultra myrtos laurusque procresceret , quibus satis odoris , parum roboris . Et omnino quantum fortuna rationi , tantum amor fortuitus officioso amori antistat .",Positive,"whereas if it were cherished by reason of services done, it would not outgrow the myrtles and the bays, which have scent enough but too little strength. In a word, love spontaneous is as superior to love earned by service as fortune is to reason.",,
Ad M. Caes ii.2.1,27,"Manus do , vicisti : tu plane omnes , qui umquam amatores fuerunt , vicisti amando .",Positive,"I give in, you have won: beyond question you have conquered in loving all lovers that have ever lived.",,
,28,"Cape coronam : atque etiam praeco pronuntiet palam pro tuo tribunali victoriam istam tuam .  At ego , quamquam superatus , tamen nihil de mea prothymia decessero aut defecero .",Positive,"Take the wreath and let the herald, too, proclaim in the ears of all before your tribunal this your victory. Yet, though vanquished, will I not falter or fail in my devotion.",,
,29,"Igitur tu quidem me , mi magister , magis amabis quam ullus hominum ullum hominem amat ; ego vero te , qui minorem vim in amando possideo , magis amabo quam ullus hominum te amat , magis denique , quam tu temet ipsum amas .",Positive,"Therefore shall you indeed, my master, love me more than any of men loves any man, while I, who have less energy in loving, will love you more than anyone else loves you, more, in fact, than you love yourself.",,
,30,"Iam mihi cum Gratia certamen erit , quam timeo ut superare possim . Nam illius quidem , ut Plautus ait , amoris imber grandibus guttis non vestem modo permanavit , sed in medullam ultro pluit .",Positive,"I see I shall have a competitor in Gratia, and I fear that I may not be able to surpass her. For, as Plautus Says, in her case, “not only has the rain of love drenched her dress with its thunder-drops, but soaked into her very marrow.”",,"lowers his own position but only to compliment someone = pos. despite using ""i fear"" its positive since his tone for the whole letter is lighthearted"
Ad M. Caes v.18,31,"Domino meo . Gravissimo dolore inguinis sum arreptus , quo omnis dolor a dorso et lumbis incubuit .",Negative,"To my Lord, I have been seized with very severe pain in the groin. All the pain from the back and loins has concentrated itself there.",,
adMC 2.11,32,"Postquam ad te proxime scripsi , postea nihil operae pretium fuit quod ad te scriberetur aut quod cognitum ad aliquem modum iuvaret .",Negative,"Since my last letter to you, nothing has happened worth writing of, or the knowledge of which would be of the slightest interest to you. ",,
,33,"Nam διὰ τῶν αὐτῶν fere dies tramisimus : idem theatrum , idem odium , idem desiderium tuum .",Negative,"For we have passed whole days more or less in the same occupations: the same theatre, the same dislike οf it, the same longing for you",,
,34,"Quid dico idem ? immo id cotidie novatur et gliscit ; et quod ait Laberius de amore , suo modo καὶ ἐπὶ ἰδίᾳ μούσῃ ;",Negative,"the same, do I say? nay, one that is daily renewed and increases and, as Laberius, after his own manner and in his own peculiar style, says of love,",,describing increase in longing = neg
,35,"Amor tuus tam cito crescit quam porrus , tam firme quam palma . Hoc igitur ad desiderium verto , quod ille de amore ait .",Mixed,"Your love as fast as any onion grows, as firm as any palm. This then that he says of love, I apply to my longing for you.",,"first sentence = pos for love, 2nd = neg for longing"
,36,"Volo ad te plura scribere , sed nihil suppetit . Ecce quod in animum venit .",Neutral,"I should like to write you a longer letter, but nothing suggests itself. Say, I have just thought of something.",,"""Say..."" = slight positive, but overall neutral segment."
,37,"Encomiagraphos istic audiimus , Graecos scilicet sed miros mortales , ut ego , qui a Graeca litteratura tantum absum quantum a terra Graecia mons Caelius meus abest , tamen me sperem illis comparatum etiam Theopompum aequiparare posse ;",Positive,"We have been listening to panegyrists here, Greeks, of course, but wondrous creatures, so much so that I, who am as far removed from Greek literature as is my native Caelian hill from the land of Greece, could nevertheless hope, matched with them, to be able to rival even Theopompus,",,awe at their skill = pos
,38,"nam hunc audio apud Graecos disertissimum natum esse . Igitur paene me opicum animantem ad Graecam scripturam perpulerunt homines , ut Caecilius ait , incolumi inscientia .",Negative,"the most eloquent, as I hear, of all the Greeks. So I, who am all but a living barbarian, have been impelled to write in Greek by men, as Caecilius says, of unimpaired ignorance.",,self-deprecating = neg.
,39,"Caelum Neapolitanum plane commodum , sed vehementer varium . In singulis scripulis horarum frigidius aut tepidius aut horridius fit .",Negative,"The climate of Naples is decidedly pleasant, but violently variable. Every two minutes it gets colder or warmer or rawer. ",,
,40,"Iam primum media nox tepida , Laurentina ; tum autem gallicinium frigidulum , Lanuvinum ;",Negative,"To begin with, midnight is warm, as at Laurentum; then, however, the cock- crow watch chilly, as at Lanuvium; ",,
,41,"iam conticinnum atque matutinum atque diluculum usque ad solis ortum gelidum , ad Algidum maxime ;",Negative,"soon the hush of night and dawn and twilight till sunrise cold, for all the world like Algidus; ",,
,42,"exim antemeridiem apricum , Tusculanum ; tum meridies fervida , Puteolana ; at enim ubi sol lautum ad Oceanum profectus est , fit demum caelum modestius , quod genus Tiburtinum ;",Mixed,"anon the forenoon sunny, as at Tusculum ; following that a noon as fierce as at Puteoli; but, indeed, when the sun has gone to his bath in Ocean, the temperature at last becomes more moderate, such as we get at Tibur; ",,
,43,"id vespera et concubia nocte , dum se intempesta nox , ut ait M . Porcius , praecipitat , eodem modo perseverat . ",Neutral,"this continues the same during the evening and first sleep of night, until, as M. Porcius says, the dead of night falls sniftly down. ",,
,44,"Sed quid ego , qui me paucula scripturum promisi , deliramenta Masuriana congero ?",Positive,"But why do I string together these Masurian banalities, when I started with saying I should write a few words only? ",,jokey
,45,"Igitur vale , magister benignissime , consul amplissime , et me , quantum ames , tantum desidera .",Positive,"So farewell, most kindly of masters, most honourable of consuls, and let your love be the measure of your longing for me.",,
adMc 2.6,46,"Sane , si quid Graeci veteres tale scripserunt , viderint qui sciunt ; ego , si fas est dicere , nec M . Porcium tam bene vituperantem quam tu laudasti usquam adverti . ",Positive,"Whether the Greeks of old ever wrote anything so good, verily let those see to it who know; for myself, I may say so, nowhere have I noticed in M. Porcius an invective so perfect as your praise. ",,
,47,"O si Dominus meus satis laudari posset , profecto a te satis laudatus esset !",Positive,"Oh, if my Lord could be praised enough, surely he had been enough praised by you. ",,
,48,"τοῦτο τὸ ἔργον οὐ γίνεται νῦν . Facilius quis Phidian , facilius Apellen , facilius denique ipsum Demosthenem imitatus fuerit aut ipsum Catonem , quam hoc tam effectum et elaboratum opus .",Positive,"This work is not done in these days. Easier were it for one to rival Pheidias, easier Apelles, easier, in fine, Demosthenes himself or Cato himself, than this perfect and finished work. ",,
,49,Nihil ego umquam cultius nihil antiquius nihil conditius nihil Latinius legi . O te hominem beatum hac eloquentia praeditum !,Positive,"Never have I read anything so refined, so classical, so polished, so Latin. Oh, happy you to be gifted with such eloquence! ",,
,50,O me hominem beatum huic magistro traditum ! O ἐπιχειρήματα ! O τάξις ! O elegantia !,Positive,"Oh, happy I to be in the hands of such a master! What reasoned thoughts! What orderly arrangement! What eleg- ance! ",,
,51,O lepos ! O venustas ! O verba ! O nitor ! O argutiae !,Positive,What wit! What beauty! What diction! What brilliance! What subtlety! ,,
,52,"O χάριτες ! O ἄσκησις ! O omnia ! Ne valeam nisi aliqua die virga in manus tibi tradenda erat , diadema circumponendum , tribunal ponendum :",Positive,"What charm! What practised skill! What everything! My life on it, but some day you ought to have the wand # placed in your hand, the diadem round your brow, the tribunal under your feet: ",,
,53,"tum praeco omnes nos citaret . Quid nos dico ? Omnes , inquam , philologos et disertos istos .",Positive,then the herald should summon all of us—why do I say us? I mean all your learned folk and your eloquent—,,
,54,"Eos tu singulos virga perduceres , verbis moneres . Mihi adhuc nullus metus huius monitionis erat ;",Positive,one by one you should wave them along with your wand and admonish them with the words of your lips. For myself I never had any fear of these admonitions ; ,,
,55,"Multa supersunt ut in ludum tuum pedem introferam . Haec cum summa festinatione ad te scribo , nam quom Domini mei ad te epistulam mitterem tam benignam , quid meis longioribus litteris opus erat ?",Positive,"I have more reasons than enough for setting foot in your school.! 2. I am writing this to you in the utmost haste, for what need of a longer letter from me when I send you so gracious a one of my Lord’s? ",,
,56,"Igitur vale , decus eloquentiae Romanae , amicorum gloria , μέγα πρᾶγμα , homo iucundissime , consul amplissime , magister dulcissime .",Positive,"Farewell, then, glory of Roman eloquence, pride of your friends, a man of mark,? most delightful of men, most honourable consul, master most sweet.",,
,57,"Postea cavebis de me , praesertim in senatu , tam multa mentiri . Horribiliter scripsisti hanc orationem .",Positive,"In future be chary of telling so many fibs, especially in the Senate, about me. This speech of yours is “awfully” well written. ",,jokey
,58,"O si ad singula capita caput tuum basiare possem ! ἰσχυρῶς πάντων καταπεφρόνηκας . Hac oratione lecta frustra nos studemus , frustra laboramus , frustra nervos contendimus .",Positive,"Oh, if I could only kiss your head for every heading of it! You have absolutely put everyone else in the back- ground. With this speech before our eyes, vain is our study, vain our toil, vain our efforts.",,
De Eloquentia 4 (Antonino Augusto Fronto),59,"Pleraque in oratione recenti tua , quod ad sententias adtinet , animadverto egregia esse ; pauca admodum uno tenus verbo corrigenda ; ",Positive,"Most things in your late speech, as far as the thoughts go, I consider were excellent; very few required alteration to the extent of a single word;",,
,60,"nonnihil interdum elocutione novella parum signatum . Quae melius visum est particulatim scribere , ita enim facilius perpendes singula et satis temporis ad inspiciendum habebis , ut qui plurimis negotiis aut agendis occupatus sis aut actis defessus .",Neutral,"some parts here and there were not sufficiently marked with novelty of expression. I have thought it better to write to you on these points in detail, for so you will the more easily consider them separately and have time to look into them, being as you are busied with the actual discharge and wearied with the past performance of very many duties.",,mostly neutral with a bit of criticism
,61,"Igitur in prohoemio quae egregie a te dicta putem , quaeque arbitrer corrigenda , scripsi tibi .",Mixed,"Well then I have written to tell you what I consider excellently said by you in your exordium, and what in my opinion needs alteration. ",,
,62,"Scripturum deinceps pro amore in te meo confide cetera . Prima ergo pars tota mirifica est , multis et gravibus sententiis referta , in quibus eximiae sunt .",Positive,"Do not doubt that what I shall further write will be written in the spirit of my love for you. All the first part then is wonderfully fine, packed with many weighty thoughts, in which these stand out",,
,63,. . Si recte . . . quo genere Cato . . . Si Tenuior et compositam fabulam protulit de disceptatione vitis et arboris ilicis .,Positive,... in which kind Cato... if sparingly and with dignity Slender indite a quite artistic apologue on a dispute between the Vine and the Holm-oak tree. ,,
,64,"Vitis se ante ilicem ferebat , quod suavissimum fructum hominum conviviis et Osiris altaribus crearet , idem dulce esu , idem haustu iucundum .",Positive,"The vine vaunted herself above the holm-oak because she bore the most delicious of all fruits for the banquets of men and the altars of Osiris, alike sweet to eat and delightful to quaff. ",,
,65,"Tum se maiore cura quam Cleopatram reginam ornari , comptius quam Laidem formosam . Pampinos suos ita pulchros esse ut necterentur ex eis Libero thyrsi , corona Sileno , Nymphis Bacchisque redimicula ;",Positive,"Then, again, she was arrayed with more care than queenly Cleopatra, with more taste than lovely Lais. So fair were her branches that from them were wound the thyrsus-wands for Liber, a garland for Silenus, and chaplets for the Nymphs and Maenads.",,
,66,ilicem esse horridam infructuosam inamabilem ; creare boni aut amoeni numquam quicquam praeter glandem .,Negative,"But the holm-oak was rough, barren, unattractive, and never
produced anything of any goodness or beauty except acorns",,
,67,". . et in lacerata . Item vos . . . Nunc ego consulto in fabulis finem facio , ut , si qua acrius dicta sunt , permixta fabulis molliantur .",Positive,"Now I purposely end with fictions that, if I have said anything too severe, it may be softened down by being mingled with fictions.",,
Ad Verum Imp. ii. 6 (Domino meo Vero Augusto),68," . . . animi mei perturbatione non possem . Sed acceptis litteris tuis , ea re iam primum bona spes mihi ostentata est , quod tua manu scripseras ;",Mixed,"I was so distressed in mind that I could not... But on the receipt of your letter, the very fact that you had written with your own hand raised my hopes at the outset ;",,
,69,"deinde quod post apstinentiam tridui et sanguinem satis strenue et prompte demissum , liberatum esse te periculo impendentis valetudinis nuntiabas .",Positive,then came your good news that after three days' fasting and a prompt and rather drastic letting of blood you had been freed from the risk of a threatened illness.,,
,70,"Respiravi igitur et revalui et apud omnes foculos aras lucos sacros arbores sacratas , nam rure agebam , supplicavi .",Positive,"So I breathed again and recovered and made my prayers at every earth, altar, sacred grove and consecrated tree---for I was staying in the country. ",,
,71,"Et nunc expecto cognoscere ex tuis litteris , quantum medii isti dies promoverint ad vires reficiendas .",Positive,And now I am waiting to hear from your next letter how much the intervening days have done towatds restoring your strength.,,
,72,"Enimvero nunc maiore multo cura diligentiaque opus est , ut paulatim temet compleas , nec properes ad detrimenta virium resarcienda .",Positive,"For, indeed, much greater care and attention are required now, that you may fill your veins gradually and not be in too great a haste to repair your lost strength. ",,Positive because showing care
,73,"Nam id quidem omnium opinione compertum et traditum est , sanguinem ubi abundet incursim detrahendum , postea pedetemptim esse reparandum .",Neutral,"For it is a belief verified and traditional that blood when in excess must be promptly drawn off, but must subsequently be regained by slow degrees.",,
,74,"Fac , oro te et obsecro , Domine , quod tuo egregio ingenio decet , temperes et reparcas et modificeris desideriis omnibus , quae nunc acriora solito et procaciora existere necesse est post apstinentiam , qua necessario in tempore usus es .",Positive,"I pray and beseech you, my Lord, take heed, as befits your eminent character, to be sparing and temperate and restrained in all your desires which now, after the abstinence which you have practised on a necessary occasion, must necessarily make themselves felt more keenly and more importunately than usual.",,showing care
,75,"Fratrem Dominum saluta , quem salvom habebis , si tu salvos eris . Vale , Domine dulcissime .",Positive,"Greet my Lord your brother, whose health you will ensure if you are well. Farewell, most sweet Lord.",,
"Ad Amicos, i.11",76,Figurae orationis sunt quae maxime orationem ornant . Duplex autem genus est figurarum .,Neutral,"The figures in a speech are what most set off a speech. There are two kinds of figures,  ",,
,77,"Aut enim verborum figurae sunt aut sententiarum . In figuris verborum est tropos , metaphora .",Neutral,for there are verbal figures or figures of thought. Among the former are trope and metaphor. ,,
,78,"Hac figura usus sum quom stagnum dixi de corpore in quo culum invenias . Valerianus noster magnas ad te plagas rettulit , quas ab omnibus .",Neutral,"I employed this figure when I applied the word slough to a body in you will find me too a little stronger. Our friend Valerianus has told you the great blows, which from all (quarters)...",,
,79,. . gravius eum tractavi quam Stratonabian aut Pyrallum . Stragula mihi linea sculptaf quae germani ...,Neutral,I have treated him more firmly than Stratonabia or Pyrallus. A linen covering,,
Ad. M. Caes. ii. 16 (Domino Meo),80," . . . praedam abripere terrae , ut dicitur , immo cellae filios :",Negative,"... that children of the earth, as the saying goes, or rather of the gutter, should snatch the booty: ",,
,81,"tantam de thesauris Antonini pecuniam prodigi quam nescio quae ista altilis alumna accipiet , unde nihil Egatheus acceperit .",Negative,"that so much wealth from the treasuries of Antoninus should be thrown away for that pampered protégée, whoever she is, to get, so that Egatheus will get nothing. ",,
,82,"Quanti vero rumores adversi , quantae querimoniae exorientur bonis lege Falcidia distractis ? Lineam istam famosam atque celebratam ceteraque tantae pecuniae ornamenta quis emet ?",Negative,"What unfriendly comments however, what grumblings will arise, when the goods have been dispersed under the Falcidian Law? That celebrated string of pearls, which everyone talks of, and all the other ornaments of such value, who will buy them? ",,
,83,"Tua uxor si emerit , praedam invasisse et minimo aere eripuisse dicetur , eoque minus ad eos quibus legatum erat pervenisse .",Negative,"If your wife buys them, she will be said to have pounced upon the spoil and snatched them away at a very small price, and that so much the less had come to the legatees under the will.",,
,84,"At non emet haec ornamenta Faustina . Quis igitur emet margarita , quae filiabus tuis legata sunt ?",Neutral,"But you will say Faustina will not buy these ornaments. Who then will buy the pearls, which were left to your daughters? ",,
,85,Iis margaritis collos filiarum tuarum despoliabis ut cuius tandem ingluvies turgida ornetur ? An hereditas Matidiae a vobis non adibitur ?,Negative,You will rob the necks of your daughters of these pearls that they may grace whose goitred gorge may I ask? Shall Matidia's inheritance not be taken up by you? ,,
,86,"Summo genere , summis opibus nobilissima femina de vobis optime merita intestata obierit ? Ita prorsus eveniet ut cui funus publicum decreveris ei ademeris testamentum .",Negative,"Shall a most noble lady of the highest rank, of the greatest wealth, one who has deserved especially well of you, have thus died intestate? The precise result, therefore, will be, that you will have robbed of her will one to whom you have granted a public funeral. ",,
,87,Adhuc usque in omnibus causis iustum te et gravem et sanctum iudicem exhibuisti : ab uxorisne tuae causa prave iudicare inchoabis ?,Mixed,Hitherto in every cause without exception you have shown yourself a just and weighty and righteous judge. Will you begin with our wife's case to give wrong judgment?,,praise then criticism
,88,"Tum tu quidem ignem imitaberis , si proximos ambures , longinquis lucebis .",Negative,"Then will you indeed be like a fire, if you scorch those who are nearest and give light to those who are far off.",,
Ad M. Caes. ii. 17 (Rescriptum magistro meo . ),89,"Ergo magister meus iam nobis et patronus erit ? Equidem possum securus esse , quom duas res animo meo carissimas secutus sim , rationem veram et sententiam tuam .",Positive,"So my master will now be my advocate also? Of a truth I can feel easy in my mind, when I have followed the two guides dearest to my heart, right reason and your opinion. ",,
,90,"Di velint ut semper , quod agam , secundo iudicio tuo , mi magister , agam .",Positive,"God grant that whatever I do I may always do with your favourable endorsement, my master.",,
,91,"Vides quid horae tibi rescribam . Nam post consultationem amicorum in hoc tempus collegi sedulo ea quae nos moverant , ut Domino meo perscriberem faceremque cum nobis in isto quoque .",Neutral,"You see how late I am writing my answer to you. For after a consultation with my friends up to this moment, I have carefully collected all the points which weighed with us, so as to write fully to my Lord, and make him our assessor in this business",,
"Ad Verum Imp, ii. 2  (Magistro meo Salutem)",92," . . . necessario correcta vel in tempore provisa vel celeriter curata vel sedulo instructa , praedicare ipse apud te supersedi .",Neutral,"I have refrained from relating to you myself all that had necessarily to be set right or provided for in good time, or quickly remedied or carefully arranged.",,"""i dont want to vent my problems to you"""
,93,"Da verecundiae veniam , si urgentibus curis praepeditus negotia in manibus praeversus sum , speque tuae erga me benignissimae facilitatis interim in scribendo cessavi .",Neutral,"Make allowance for my scrupulosity, if shackled with urgent cares I have dealt first with the business in hand and, counting on your good-natured indulgence towards me,have meanwhile given up writing. ",,emphasis on reason for lateness of letter (rather than on the apology) so neutral
,94,"Fiduciae amoris ignoscito , si piguit consilia me singularum rerum forsitan in dies mutanda sub incerto adhuc exitu dubia existimatione perscribere .",Negative,"Pardon my reliance on our love if I have fought shy of describing my measures in detail, liable as they were to daily alteration and while the issue was still doubtful and all forecast precarious. ",,apologetic
,95,"Causam quaeso tam iustae cunctationis accipias . Cur igitur aliis quam tibi saepius ? Ut breviter absolvam , quoniam quidem , nisi ita facerem , illi irascerentur , tu ignosceres , illi tacerent , tu flagitares , illis officium officio repensabam , tibi amorem pro amore debebam .",Mixed,"Accept, I beseech you, the reason for so legitimate a delay. Why, then, write to others oftener than to you? To excuse myself shortly: because, in fact, did I not do so, they would be angry, you would forgive; they would give up writing, you would importune me; to them I rendered duty for duty, to you I owed love for love. ",,apologetic then praising fronto's character
,96,"An velles ad te quoque me litteras invitum querentem festinantem , quia necesse erat potius uam quia libebat , darem ?",Negative,"Or would you wish me to write you also letters unwillingly, grumblingly, hurriedly, from necessity rather than from choice? ",,
,97,"Cur autem , inquies , non libebat ? Quia nequedum quicquam eiusmodi effectum erat , ut te liberet ad gaudii societatem vocare .",Negative,"Now why, you will say, not from choice? Because not even yet has anything been accomplished such as to make me wish to invite you to share in the joy. ",,sad that nothing interesting happened
,98,"Curarum vero , quae me dies noctesque miserrimum habuere , et prope ad desperationem summae rei perduxere , facere participem hominem carissimum et quem semper laetum esse cuperem , fateor non libebat .",Negative,"I did not care, I confess, to make one so very dear to me, and one whom I would wish to be always happy ,a partner in anxieties which night and day made me utterly wretched,’ and almost brought me to despair of success",,
,99,"Nec enim illud libebat , aliud dolere aliud loqui . Simulare Lucium quicquam adversus Frontonem a quo ego prius multo simplicitatem verique amorem quam loquendi polite disciplinam didicisse me praedico .",Positive,"Nor, indeed, did I care for the alternative, to feel one thing and utter another. What, Lucius to make pretences to Fronto from whom I do not hesitate to say I have learnt simplicity and the love of truth far before the lesson of polite phrasing.",,compliment to fronto's honesty + teaching
,100,"Equidem pacto quoque , quod inter nos iampridem intercessit , satis me ad veniam impetrandam paratum esse arbitror .",Positive,"Indeed, by the compact also, which has long subsisted between us, I think I am sufficiently qualified for receiving pardon. ",,confidence
,101,"Denique , quamquam mihi lacessitus a me saepius numquam tamen rescripsisses , dolebam hercules sed pacti memoria non succensebam .",Negative,"At all events, when in spite of repeated appeals from me you never wrote, I was sorry, by heaven, but, remembering our compact, not angry. ",,
,102,"Postremo quid plura ? ne potius defendere me quam orare te videar , peccavi , fateor , adversum quem minime decuit , etiam id fateor .",Negative,"Finally, why say more, that I seem not rather to justify myself than to entreat you? I have been in fault, I admit it; against the last person, too, that deserved it: that, too, I admit.",,
